Name,DNS1,DNS2,DNS3,DNS4,DNS5,DNS6,DNS7,DNS8,DNS9,DNS10,IPAddress,DOMAIN,FileName
vCenter Server,vc01,,,,,,,,,,,labrat.local,vc01
vCenter Server,vc02,,,,,,,,,,,labrat.local,vc02
Platform Service Controller,psc,psc01,psc02,,,,,,,,,labrat.local,psc
NSX Manager ,nsx01,,,,,,,,,,,labrat.local,nsx01
NSX Manager ,nsx02,,,,,,,,,,,labrat.local,nsx02
vSphere Data Protection,vdp,,,,,,,,,,,labrat.local,vdp
Site Recover Manager Server,srm01,,,,,,,,,,172.16.100.58,labrat.local,srm01
vSphere Replication Appliance,rep01,,,,,,,,,,,labrat.local,rep01
vRealize Log Insight,vrli,vrli01,vrli02,vrli03,,,,,,,,labrat.local,vrli
vROps Load Balancer,vrops,vrops01,vrops02,vrops03,,,,,,,172.16.200.27,labrat.local,vrops
vRA Appliance Web Load Balancer,vra,vra01,vra02,iaas,iaas01,iaas02,mgr,ims01,ims02,vro,172.16.200.24,labrat.local,vra
vRB Sever,vrb,,,,,,,,,,,labrat.local,vrb
